Repet;Bloc;N-Produit_Dose;Surface_Percent_Septo_F1_1;Surface_Percent_Septo_F1_2;Surface_Percent_Septo_F1_3;Surface_Percent_Septo_F1_4;Surface_Percent_Septo_F1_5;Surface_Percent_Septo_F1_6;Surface_Percent_Septo_F1_7;Surface_Percent_Septo_F1_8;Surface_Percent_Septo_F1_9;Surface_Percent_Septo_F1_10;Surface_Percent_Septo_F1_11;Surface_Percent_Septo_F1_12;Surface_Percent_Septo_F1_13;Surface_Percent_Septo_F1_14;Surface_Percent_Septo_F1_15;Surface_Percent_Septo_F1_16;Surface_Percent_Septo_F1_17;Surface_Percent_Septo_F1_18;Surface_Percent_Septo_F1_19;Surface_Percent_Septo_F1_20;Surface_Percent_Septo_F1_21;Surface_Percent_Septo_F1_22;Surface_Percent_Septo_F1_23;Surface_Percent_Septo_F1_24;Surface_Percent_Septo_F1_25
101;1;1-Temoin;8;8;3;5;8;12;5;8;10;10;5;8;8;10;8;15;12;15;5;8;12;5;8;10;12
102;1;6_CodeA_066;0;1;0;0;1;0;1;8;2;8;2;2;2;3;0;0;1;0;1;4;1;0;1;1;2
103;1;8_CodeA_20;0;4;0;0;0;1;0;0;1;0;0;3;5;0;0;1;0;0;0;0;0;0;0;0;1
104;1;10-RevyXB_06;5;0;2;2;0;2;5;5;3;8;8;2;5;2;3;2;5;2;4;2;2;0;5;2;5
105;1;2-Keynote_08;2;0;5;8;2;2;20;12;2;10;2;15;10;10;2;8;8;2;2;2;5;5;2;2;8
106;1;4_RevystarXL_08;2;2;5;2;0;0;2;0;5;0;10;0;2;2;2;2;5;0;2;0;5;1;5;2;1
107;1;7_CodeA_1325;1;1;0;2;0;0;2;1;1;0;2;5;2;0;0;0;1;0;0;5;1;0;1;1;2
108;1;11-Atrium+Pavecto60_05+12;5;2;5;1;5;2;5;0;2;0;2;2;5;0;2;1;2;1;0;2;2;0;0;2;2
109;1;5_RevystarXL_12;2;10;2;12;5;0;0;5;5;8;0;2;5;2;2;5;2;5;3;5;0;2;0;2;2
110;1;9_CodeB_10;1;2;15;0;0;2;0;5;1;2;1;0;1;5;2;0;5;2;2;2;1;1;2;8;8
111;1;3_RevystarXL_04;2;8;5;2;8;30;10;10;8;10;8;10;10;8;5;10;5;5;20;5;20;10;10;15;2
112;1;12-Imtrex+Sulky_08+08;10;5;10;5;4;5;30;30;0;12;5;10;2;2;0;5;10;12;2;0;2;0;2;2;5
201;2;6_CodeA_066;0;5;1;0;0;5;2;5;0;5;2;1;5;1;8;0;2;3;1;2;1;5;0;0;1
202;2;1-Temoin;10;2;15;5;8;2;10;5;8;30;5;10;20;10;10;8;10;25;10;8;5;5;8;20;5
203;2;9_CodeB_10;15;1;5;2;10;8;5;2;10;2;8;5;15;8;2;0;1;2;2;0;2;1;5;2;8
204;2;12-Imtrex+Sulky_08+08;0;0;0;2;2;0;1;1;2;10;1;0;5;0;1;5;8;2;1;8;5;1;0;0;2
205;2;10-RevyXB_06;0;2;5;0;2;5;0;0;5;0;5;8;10;1;2;2;2;5;3;8;12;2;8;8;5
206;2;8_CodeA_20;0;0;0;0;2;0;0;5;0;0;0;2;0;0;0;0;0;2;1;1;0;0;2;2;0
207;2;11-Atrium+Pavecto60_05+12;2;2;3;0;5;5;2;8;3;8;10;2;2;5;10;5;3;2;2;2;2;0;2;0;2
208;2;2-Keynote_08;8;0;2;5;5;2;0;2;5;8;1;2;5;3;2;2;0;5;8;2;8;1;18;5;3
209;2;4_RevystarXL_08;2;2;5;2;1;8;2;0;2;3;2;5;1;1;0;2;2;8;0;12;0;2;0;10;2
210;2;7_CodeA_1325;5;5;0;0;0;1;0;1;1;0;0;2;1;1;0;1;0;0;1;5;10;1;0;1;0
211;2;5_RevystarXL_12;0;1;0;0;1;5;5;2;0;8;2;2;0;2;0;2;0;2;1;2;0;2;1;2;2
212;2;3_RevystarXL_04;5;5;2;2;2;8;2;5;2;8;5;5;5;5;2;2;5;5;2;1;2;1;0;0;2
301;3;11-Atrium+Pavecto60_05+12;2;1;2;2;2;5;5;5;8;0;10;15;2;2;5;2;2;8;2;0;2;0;0;5;5
302;3;7_CodeA_1325;0;0;2;12;1;2;0;1;2;2;2;2;2;2;0;0;5;1;0;0;1;1;0;1;1
303;3;4_RevystarXL_08;2;1;0;5;1;2;0;0;2;0;1;0;15;5;2;2;10;5;8;5;2;5;5;0;0
304;3;9_CodeB_10;2;8;10;12;15;8;5;10;8;2;3;5;10;5;10;2;5;10;8;5;5;5;2;5;10
305;3;6_CodeA_066;2;2;2;5;0;2;10;2;0;0;8;5;0;2;1;2;2;0;0;2;0;1;0;0;1
306;3;1-Temoin;15;10;10;8;8;5;15;8;0;10;12;12;2;5;20;8;5;5;5;12;15;8;5;10;15
307;3;8_CodeA_20;1;0;0;0;2;0;0;2;2;2;1;5;0;5;2;0;0;1;2;1;2;1;5;12;0
308;3;3_RevystarXL_04;1;2;2;0;8;5;5;10;5;5;20;8;5;5;2;5;12;10;5;5;5;5;15;0;2
309;3;10-RevyXB_06;2;0;0;2;5;8;10;5;2;2;8;1;5;2;2;2;2;5;8;0;1;2;10;5;8
310;3;5_RevystarXL_12;2;5;2;2;2;10;2;5;2;5;15;2;12;2;2;2;5;5;2;8;2;2;2;5;2
311;3;12-Imtrex+Sulky_08+08;5;0;8;5;0;5;15;2;8;0;10;5;8;0;2;2;2;0;3;2;5;2;0;8;2
312;3;2-Keynote_08;5;2;5;3;5;12;2;10;8;8;12;8;10;5;10;5;2;15;2;2;10;5;8;10;8
401;4;12-Imtrex+Sulky_08+08;8;2;1;0;1;0;0;2;2;2;0;0;5;2;0;2;3;3;0;0;2;2;5;0;2
402;4;5_RevystarXL_12;0;0;3;0;0;5;0;2;2;5;2;2;1;2;1;2;1;0;0;1;2;2;2;2;0
403;4;7_CodeA_1325;2;2;2;3;5;2;1;1;1;0;0;0;3;0;8;0;2;0;3;0;5;5;2;0;0
404;4;2-Keynote_08;5;5;12;0;3;15;5;5;12;0;2;15;2;10;2;2;8;5;20;2;0;5;2;2;5
405;4;11-Atrium+Pavecto60_05+12;5;5;3;5;0;2;2;5;2;1;2;2;1;1;1;5;8;2;5;2;8;5;8;2;5
406;4;6_CodeA_066;2;1;0;1;2;5;20;2;2;2;2;3;0;5;2;1;5;0;2;5;10;2;2;1;40
407;4;1-Temoin;10;5;5;12;8;5;45;10;10;8;15;5;8;5;15;2;18;30;5;3;8;3;30;8;25
408;4;9_CodeB_10;2;2;20;2;2;0;10;2;0;8;2;5;10;8;5;10;15;2;15;5;5;3;10;2;4
409;4;3_RevystarXL_04;5;0;8;2;0;5;10;5;5;0;2;2;2;5;5;15;2;2;5;2;8;2;2;5;2
410;4;8_CodeA_20;2;2;2;5;2;2;1;5;2;5;2;0;1;0;2;10;0;5;0;1;2;0;5;1;0
411;4;10-RevyXB_06;20;50;5;5;5;2;1;2;5;5;2;5;5;5;1;5;10;5;5;10;5;8;2;20;5
412;4;4_RevystarXL_08;5;2;5;20;2;2;2;5;20;2;2;8;5;0;15;5;5;0;5;10;10;2;5;2;5
