Repet;SeptoF3;SeptoF2;SeptoF1;RouilF3;RouilF2;RouilF1
80UN ZA;0;0;0;0;0;0
80UN ZA;5;1;1;0;0;0
80UN ZA;2;0;0;0;0;0
80UN ZA;0;0;0;0;0;0
80UN ZA;0;0;0;5;2;0
80UN ZA;1;1;0;1;0;0
80UN ZA;5;0;0;0;0;1
80UN ZA;10;0;0;1;0;0
80UN ZA;5;0;0;0;0;0
80UN ZA;2;1;0;0;0;0
80UN ZA;2;5;0;0;2;0
80UN ZA;0;0;0;0;0;0
80UN ZA;2;1;1;0;0;0
80UN ZA;1;1;0;0;0;0
80UN ZA;1;0;0;0;0;0
80UN ZA;1;0;0;0;0;0
80UN ZA;0;0;0;0;1;0
80UN ZA;2;1;1;0;0;0
80UN ZA;2;1;0;0;0;0
80UN ZA;10;5;2;0;0;1
80UN ZA;2;1;0;0;0;0
80UN ZA;2;1;0;1;0;0
80UN ZA;1;0;0;2;0;0
80UN ZA;3;1;0;0;0;0
80UN ZA;2;1;0;0;0;0
80UN ZA;0;0;0;0;0;0
80UN ZA;0;1;0;0;0;0
80UN ZA;0;0;0;0;0;0
80UN ZA;1;0;0;1;0;0
80UN ZA;5;0;2;0;1;0
80UN ZB;2;0;0;0;1;0
80UN ZB;2;1;0;0;0;0
80UN ZB;2;1;0;0;0;0
80UN ZB;0;0;0;1;0;2
80UN ZB;3;1;0;0;0;0
80UN ZB;0;0;0;1;1;0
80UN ZB;1;0;0;0;0;0
80UN ZB;0;0;0;2;0;0
80UN ZB;0;0;0;0;0;0
80UN ZB;1;0;0;0;0;0
80UN ZB;10;5;0;0;0;0
80UN ZB;5;1;0;0;0;0
80UN ZB;1;0;0;0;0;0
80UN ZB;0;0;0;0;0;0
80UN ZB;0;1;0;0;0;0
80UN ZB;1;0;0;0;0;0
80UN ZB;5;2;0;0;1;0
80UN ZB;0;0;0;0;0;0
80UN ZB;0;0;0;0;0;0
80UN ZB;1;0;0;0;0;0
80UN ZB;1;1;0;0;0;0
80UN ZB;1;0;0;0;1;0
80UN ZB;0;0;0;5;0;0
80UN ZB;1;0;0;1;0;0
80UN ZB;2;1;0;0;0;0
80UN ZB;3;1;1;1;1;0
80UN ZB;1;2;1;1;0;0
80UN ZB;0;1;0;0;0;0
80UN ZB;0;1;0;1;0;0
80UN ZB;1;0;0;0;1;0
240UN ZA;1;0;0;0;0;0
240UN ZA;3;0;0;0;0;0
240UN ZA;0;1;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;2;1;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;1;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;1;0;0;0;0;0
240UN ZA;3;0;0;0;0;0
240UN ZA;1;2;0;0;0;0
240UN ZA;0;1;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;1;0;0;0;0
240UN ZA;2;0;0;0;0;0
240UN ZA;1;0;0;0;0;0
240UN ZA;5;2;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;1;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;2;1;0;0;0;0
240UN ZA;1;0;0;0;0;0
240UN ZB;3;0;0;0;0;0
240UN ZB;4;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;1;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;1;0;0;0;0;0
240UN ZB;1;0;0;0;0;0
240UN ZB;1;0;0;1;0;0
240UN ZB;3;1;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;1;0;0;0;0;0
240UN ZB;1;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;1;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;2;0;0;0;0;0
240UN ZB;2;1;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;2;1;0;0;0;0
240UN ZB;0;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;10;2;0;0;0;0
Temoin ZA;20;5;0;0;0;0
Temoin ZA;15;5;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;2;1;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;1;1;0;0;0;0
Temoin ZA;20;5;0;0;0;0
Temoin ZA;1;0;0;0;0;0
Temoin ZA;5;1;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;1;1;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;1;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;5;1;0;0;0;0
Temoin ZA;2;0;0;0;0;0
Temoin ZA;2;1;0;0;0;0
Temoin ZA;5;0;0;0;0;0
Temoin ZA;2;1;0;0;0;0
Temoin ZA;1;0;0;0;0;0
Temoin ZA;10;1;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;2;0;0;0;0;0
Temoin ZA;2;2;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;2;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;5;1;0;0;0;0
Temoin ZB;10;0;0;0;0;0
Temoin ZB;2;0;0;0;0;0
Temoin ZB;0;0;0;1;0;0
Temoin ZB;0;0;0;1;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;1;0;0
Temoin ZB;0;0;0;1;0;0
Temoin ZB;0;0;0;5;1;1
Temoin ZB;0;0;0;2;1;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;1;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;1;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;1;0
