Repet;SeptoF3;SeptoF2;SeptoF1;RouilF3;RouilF2;RouilF1
Temoin ZA;0;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;10;2;0;0;0;0
Temoin ZA;20;5;0;0;0;0
Temoin ZA;15;5;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;2;1;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;1;1;0;0;0;0
Temoin ZA;20;5;0;0;0;0
Temoin ZA;1;0;0;0;0;0
Temoin ZA;5;1;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;1;1;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;1;0;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;5;1;0;0;0;0
Temoin ZA;2;0;0;0;0;0
Temoin ZA;2;1;0;0;0;0
Temoin ZA;5;0;0;0;0;0
Temoin ZA;2;1;0;0;0;0
Temoin ZA;1;0;0;0;0;0
Temoin ZA;10;1;0;0;0;0
Temoin ZA;0;0;0;0;0;0
Temoin ZA;2;0;0;0;0;0
Temoin ZA;2;2;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;2;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;5;1;0;0;0;0
Temoin ZB;10;0;0;0;0;0
Temoin ZB;2;0;0;0;0;0
Temoin ZB;0;0;0;1;0;0
Temoin ZB;0;0;0;1;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;1;0;0
Temoin ZB;0;0;0;1;0;0
Temoin ZB;0;0;0;5;1;1
Temoin ZB;0;0;0;2;1;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;1;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;1;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;0;0
Temoin ZB;0;0;0;0;1;0
