Repet;SeptoF3;SeptoF2;SeptoF1;RouilF3;RouilF2;RouilF1
80UN ZA;25;20;5;8;25;4
80UN ZA;80;60;30;4;8;3
80UN ZA;80;30;5;4;25;3
80UN ZA;75;55;60;10;10;5
80UN ZA;15;8;5;8;4;5
80UN ZA;80;70;10;15;10;2
80UN ZA;100;50;70;2;8;2
80UN ZA;60;15;5;5;18;12
80UN ZA;15;10;5;20;25;10
80UN ZA;65;40;35;15;5;5
80UN ZA;60;20;20;10;4;5
80UN ZA;75;10;10;20;20;30
80UN ZA;60;35;65;3;5;2
80UN ZA;20;10;5;8;8;2
80UN ZA;80;30;8;5;4;8
80UN ZA;100;10;5;20;25;20
80UN ZA;90;25;15;35;25;8
80UN ZA;25;80;40;20;2;2
80UN ZA;100;25;15;3;15;15
80UN ZA;10;5;5;4;2;5
80UN ZA;10;5;10;8;3;1
80UN ZA;80;30;5;8;8;1
80UN ZA;90;30;40;20;15;10
80UN ZA;75;55;75;5;4;10
80UN ZA;40;35;5;5;5;2
80UN ZA;100;90;65;1;8;4
80UN ZA;45;35;15;8;20;5
80UN ZA;100;80;60;5;20;5
80UN ZA;80;40;10;10;8;15
80UN ZA;90;60;5;5;8;2
80UN ZB;90;1;10;5;15;10
80UN ZB;100;90;30;10;5;3
80UN ZB;50;20;10;20;10;2
80UN ZB;20;10;5;20;15;5
80UN ZB;80;30;5;5;10;3
80UN ZB;30;40;5;40;10;7
80UN ZB;15;3;2;20;5;2
80UN ZB;100;80;30;50;30;5
80UN ZB;93;20;6;10;5;0
80UN ZB;100;50;5;5;7;3
80UN ZB;100;50;10;10;15;5
80UN ZB;100;30;20;15;5;2
80UN ZB;85;15;5;7;5;2
80UN ZB;70;10;5;15;5;3
80UN ZB;95;65;30;20;10;3
80UN ZB;100;50;10;10;5;3
80UN ZB;50;10;10;20;5;10
80UN ZB;30;10;20;10;10;3
80UN ZB;100;75;10;20;30;5
80UN ZB;50;20;5;35;20;5
80UN ZB;100;30;5;5;3;5
80UN ZB;90;30;20;15;10;0
80UN ZB;50;20;20;25;10;3
80UN ZB;95;60;40;20;25;20
80UN ZB;100;50;10;35;5;10
80UN ZB;80;30;10;35;15;3
80UN ZB;90;10;5;10;4;3
80UN ZB;100;80;30;5;0;2
80UN ZB;60;20;10;15;25;5
80UN ZB;50;20;5;8;5;3
