Repet;SeptoF3;SeptoF2;SeptoF1;RouilF3;RouilF2;RouilF1
240UN ZA;1;0;0;0;0;0
240UN ZA;3;0;0;0;0;0
240UN ZA;0;1;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;2;1;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;1;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;1;0;0;0;0;0
240UN ZA;3;0;0;0;0;0
240UN ZA;1;2;0;0;0;0
240UN ZA;0;1;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;1;0;0;0;0
240UN ZA;2;0;0;0;0;0
240UN ZA;1;0;0;0;0;0
240UN ZA;5;2;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;1;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;0;0;0;0;0;0
240UN ZA;2;1;0;0;0;0
240UN ZA;1;0;0;0;0;0
240UN ZB;3;0;0;0;0;0
240UN ZB;4;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;1;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;1;0;0;0;0;0
240UN ZB;1;0;0;0;0;0
240UN ZB;1;0;0;1;0;0
240UN ZB;3;1;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;1;0;0;0;0;0
240UN ZB;1;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;1;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;2;0;0;0;0;0
240UN ZB;2;1;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;0;0;0;0;0;0
240UN ZB;2;1;0;0;0;0
240UN ZB;0;0;0;0;0;0
