Repet;SeptoF3;SeptoF2;SeptoF1;RouilF3;RouilF2;RouilF1
Temoin ZA;20;15;5;5;8;2
Temoin ZA;100;90;70;0;3;0
Temoin ZA;50;20;10;1;3;0
Temoin ZA;100;35;25;0;0;0
Temoin ZA;80;35;10;4;8;2
Temoin ZA;70;25;10;3;8;2
Temoin ZA;100;25;5;0;0;0
Temoin ZA;90;70;10;0;8;12
Temoin ZA;80;60;10;2;3;0
Temoin ZA;15;20;5;2;1;1
Temoin ZA;100;80;15;0;3;3
Temoin ZA;100;100;90;0;1;0
Temoin ZA;100;80;15;0;1;0
Temoin ZA;25;10;5;2;1;0
Temoin ZA;65;15;10;0;5;0
Temoin ZA;100;60;15;0;2;5
Temoin ZA;100;80;70;0;0;1
Temoin ZA;30;5;15;1;1;1
Temoin ZA;100;35;15;1;0;0
Temoin ZA;25;5;2;1;0;0
Temoin ZA;100;25;10;0;1;10
Temoin ZA;100;100;60;1;3;2
Temoin ZA;100;95;35;0;1;0
Temoin ZA;100;70;60;0;1;0
Temoin ZA;100;50;15;0;5;1
Temoin ZA;100;100;25;0;1;3
Temoin ZA;80;25;60;1;25;0
Temoin ZA;100;15;25;1;0;0
Temoin ZA;75;55;25;1;0;0
Temoin ZA;75;25;5;2;1;5
Temoin ZB;100;80;20;10;5;3
Temoin ZB;100;95;20;0;2;1
Temoin ZB;90;50;10;5;3;1
Temoin ZB;92;60;5;3;5;1
Temoin ZB;100;100;90;0;2;0
Temoin ZB;100;90;5;0;2;2
Temoin ZB;100;93;50;0;0;0
Temoin ZB;1;1;2;1;0;2
Temoin ZB;90;50;0;1;1;1
Temoin ZB;100;95;80;0;5;13
Temoin ZB;97;20;5;0;10;5
Temoin ZB;50;10;0;10;5;0
Temoin ZB;100;100;50;2;5;2
Temoin ZB;100;80;2;0;3;2
Temoin ZB;100;20;10;0;2;1
Temoin ZB;100;100;60;1;0;1
Temoin ZB;100;100;80;0;2;1
Temoin ZB;100;70;50;0;4;2
Temoin ZB;80;30;10;2;1;1
Temoin ZB;100;80;5;1;5;1
Temoin ZB;100;50;15;0;3;4
Temoin ZB;100;75;10;1;7;3
Temoin ZB;85;40;5;3;2;0
Temoin ZB;100;95;10;0;1;0
Temoin ZB;100;30;15;0;1;1
Temoin ZB;100;20;5;0;3;3
Temoin ZB;75;5;3;5;2;1
Temoin ZB;30;10;5;2;2;0
Temoin ZB;90;50;3;10;10;1
Temoin ZB;100;100;50;0;1;2
